Activity,Date,Time,Location,TIC
第一期乒乓球校隊A班,"10/12/2025,17/12/2025",10:00-13:00,Hall,志
第一期羽毛球校隊A,10/12/2025,10:00-13:00,Hall,志
第一期羽毛球校隊A,10/12/2025,10:00-13:00,Hall,志
第一期羽毛球校隊B,10/12/2025,10:00-13:00,Hall,志
活現書中人,10/12/2025,10:00-13:00,Hall,志
Campus TV ,10/12/2025,10:00-13:00,Hall,志
Poetry,10/12/2025,10:00-13:00,Hall,志
手鐘A隊,10/12/2025,10:00-13:00,Hall,志
機械特工隊,10/12/2025,10:00-13:00,Hall,志
06-西畫班(P.1-P.3),10/12/2025,10:00-13:00,Hall,志
閱讀滿 FUN,10/12/2025,10:00-13:00,Hall,志
小女童軍,10/12/2025,10:00-13:00,Hall,志
海洋保育小先鋒,10/12/2025,10:00-13:00,Hall,志
Storytelling,10/12/2025,10:00-13:00,Hall,志
低年級合唱團,10/12/2025,10:00-13:00,Hall,志
校園小領袖,10/12/2025,10:00-13:00,Hall,志
環保倡健領袖生,10/12/2025,10:00-13:00,Hall,志
小童軍A團,10/12/2025,10:00-13:00,Hall,志
小童軍B團,10/12/2025,10:00-13:00,Hall,志
機械人精英培訓課程,10/12/2025,10:00-13:00,Hall,志
粵劇培訓班,10/12/2025,10:00-13:00,Hall,志
五年級兒童演說家(第一期),10/12/2025,10:00-13:00,Hall,志
古地球生物化石課程(第一期),10/12/2025,10:00-13:00,Hall,志
English Ambassor,10/12/2025,10:00-13:00,Hall,志
Puppetry,10/12/2025,10:00-13:00,Hall,志
Steam Club,10/12/2025,10:00-13:00,Hall,志
STEAM寶湖發明家,10/12/2025,10:00-13:00,Hall,志
問答校隊,10/12/2025,10:00-13:00,Hall,志
01-圍棋入門班(P1-6),10/12/2025,10:00-13:00,Hall,志
02-圍棋深造班(P1-6),10/12/2025,10:00-13:00,Hall,志
07-國畫班(P.1-P.6),10/12/2025,10:00-13:00,Hall,志
08-書法班(P.1-P.6 ),10/12/2025,10:00-13:00,Hall,志
13-乒乓球入門A班(P.1),10/12/2025,10:00-13:00,Hall,志
14-乒乓球入門B班(P.2),10/12/2025,10:00-13:00,Hall,志
29-機械人工程師 證書課程(P.3- P.6),10/12/2025,10:00-13:00,Hall,志
古地球生物化石課程(第一期),10/12/2025,10:00-13:00,Hall,志
English Elites,10/12/2025,10:00-13:00,Hall,志
第一期乒乓球校隊B班,10/12/2025,10:00-13:00,Hall,志
多米諾藝術夢工場,10/12/2025,10:00-13:00,Hall,志
國情小先鋒,10/12/2025,10:00-13:00,Hall,志
數學拔尖B班,10/12/2025,10:00-13:00,Hall,志
數學拔尖D班,10/12/2025,10:00-13:00,Hall,志
電子音樂創作課程,10/12/2025,10:00-13:00,Hall,志
Plover Speed,10/12/2025,10:00-13:00,Hall,志
手鐘B隊,10/12/2025,10:00-13:00,Hall,志
